1,1
3,1
7,1
11,2
14,1
24,1
31,2
41,1
44,3
48,1
51,1
53,1
54,2
56,1
58,3
61,1
71,1
73,2
74,2
82,1
83,1
85,1
91,2
98,1
102,2
104,3
110,1
122,1
134,1
135,1
136,1
137,2
140,1
147,2
148,1
152,2
153,1
156,4
163,1
166,1
167,1
170,1
176,2
178,1
194,1
196,1
211,1
213,1
220,1
232,3
235,1
238,1
239,1
245,2
247,1
248,1
258,1
264,2
266,3
281,1
285,5
298,2
306,1
309,2
338,1
339,1
343,1
347,1
349,1
359,1
360,3
369,1
370,1
375,2
377,1
378,2
386,2
387,1
392,1
394,2
398,2
402,1
418,1
420,1
422,1
423,2
425,3
426,1
428,1
429,1
434,1
436,1
440,2
449,1
458,1
462,1
468,1
469,1
471,2
474,1
478,1
479,2
484,1
486,2
488,1
490,1
492,1
494,1
503,1
514,1
521,1
534,2
549,1
562,1
565,2
570,1
571,2
572,2
577,3
586,1
587,2
588,1
598,1
600,4
605,2
609,1
614,1
617,1
628,2
630,1
631,1
633,1
635,4
637,1
643,1
646,1
648,1
651,1
652,1
654,1
658,1
663,2
664,1
671,1
676,1
678,1
685,1
694,1
701,1
702,1
709,1
710,2
715,1
717,2
727,2
737,1
741,3
744,1
748,1
752,1
753,1
756,1
772,1
774,1
775,2
779,1
780,1
788,1
790,1
792,1
793,1
797,1
802,2
810,1
812,3
822,1
824,1
829,2
835,1
847,2
852,1
853,2
863,1
867,1
868,1
883,1
888,1
889,1
892,3
897,1
898,2
900,2
910,1
919,1
927,1
929,2
933,1
935,1
936,1
948,1
964,2
969,2
971,1
973,2
978,1
979,2
981,2
985,1
987,1
994,1
998,2
1000,1
1003,1
1007,1
1011,1
1020,1
1021,1
1030,2
1041,1
1042,3
1050,1
1056,1
1060,2
1072,1
1074,1
1089,1
1090,1
1093,1
1095,3
1096,1
1111,1
1122,1
1127,1
1128,1
1135,4
1140,2
1141,2
1150,1
1155,1
1157,1
1159,1
1165,1
1166,2
1169,1
1187,1
1190,1
1198,2
1199,1
1200,1
1210,1
1213,1
1216,2
1222,1
1224,1
1232,1
1233,2
1234,1
1235,1
1242,1
1246,1
1252,1
1267,1
1272,1
1273,1
1274,1
1282,1
1288,2
1295,1
1299,1
1300,1
1301,1
1307,1
1309,5
1311,1
1312,2
1326,3
1334,1
1338,3
1340,1
1343,1
1345,1
1350,2
1351,1
1352,1
1358,1
1361,1
1363,1
1370,1
1372,1
1374,1
1376,4
1377,1
1378,1
1381,1
1382,1
1383,2
1384,1
1386,1
1387,1
1395,1
1398,1
1411,1
1419,1
1420,1
1427,1
1430,1
1432,1
1436,1
1437,1
1454,1
1456,1
1457,1
1459,2
1481,1
1489,2
1495,1
1496,1
1501,1
1503,1
1507,1
1508,1
1510,1
1516,1
1518,2
1528,1
1532,1
1537,1
1547,1
1548,1
1555,2
1558,1
1560,2
1565,1
1584,3
1588,1
1596,1
1606,1
