1,5952,5.0
3,953,5.0
7,2762,5.0
11,2762,5.0
11,5952,5.0
14,4995,5.0
24,2762,5.0
31,5952,5.0
31,91529,5.0
41,953,5.0
44,953,5.0
44,1172,5.0
44,4995,5.0
48,1172,5.0
51,2762,5.0
53,1172,5.0
54,1302,5.0
54,2762,5.0
56,2762,5.0
58,953,5.0
58,2762,5.0
58,5952,5.0
61,5952,5.0
71,4995,5.0
73,1302,5.0
73,2762,5.0
74,1172,5.0
74,2762,5.0
82,953,5.0
83,5952,5.0
85,899,5.0
91,1172,5.0
91,5952,5.0
98,5952,5.0
102,953,5.0
102,2762,5.0
104,899,5.0
104,953,5.0
104,3095,5.0
110,2762,5.0
122,1172,5.0
134,2762,5.0
135,5952,5.0
136,4995,5.0
137,2762,5.0
137,4995,5.0
140,1172,5.0
147,953,5.0
147,5952,5.0
148,4995,5.0
152,2762,5.0
152,4995,5.0
153,1302,5.0
156,1302,5.0
156,2762,5.0
156,4995,5.0
156,5952,5.0
163,2762,5.0
166,1172,5.0
167,5952,5.0
170,953,5.0
176,4995,5.0
176,5952,5.0
178,899,5.0
194,5952,5.0
196,2762,5.0
211,5952,5.0
213,4995,5.0
220,2762,5.0
232,2762,5.0
232,4995,5.0
232,5952,5.0
235,2762,5.0
238,5952,5.0
239,5952,5.0
245,899,5.0
245,953,5.0
247,5952,5.0
248,1172,5.0
258,5952,5.0
264,2762,5.0
264,5952,5.0
266,953,5.0
266,4995,5.0
266,5952,5.0
281,91529,5.0
285,953,5.0
285,2762,5.0
285,4995,5.0
285,5952,5.0
285,91529,5.0
298,1302,5.0
298,2762,5.0
306,1172,5.0
309,953,5.0
309,2762,5.0
338,1172,5.0
339,2762,5.0
343,5952,5.0
347,5952,5.0
349,4995,5.0
359,2762,5.0
360,1172,5.0
360,2762,5.0
360,3095,5.0
369,5952,5.0
370,5952,5.0
375,899,5.0
375,953,5.0
377,953,5.0
378,2762,5.0
378,4995,5.0
386,899,5.0
386,953,5.0
387,899,5.0
392,4995,5.0
394,899,5.0
394,5952,5.0
398,5952,5.0
398,91529,5.0
402,1302,5.0
418,2762,5.0
420,5952,5.0
422,5952,5.0
423,1172,5.0
423,2762,5.0
425,899,5.0
425,953,5.0
425,5952,5.0
426,953,5.0
428,1172,5.0
429,1172,5.0
434,91529,5.0
436,5952,5.0
440,2762,5.0
440,5952,5.0
449,2762,5.0
458,2762,5.0
462,5952,5.0
468,91529,5.0
469,2762,5.0
471,953,5.0
471,2762,5.0
474,2762,5.0
478,3095,5.0
479,953,5.0
479,1172,5.0
484,1172,5.0
486,899,5.0
486,953,5.0
488,2762,5.0
490,1172,5.0
492,4995,5.0
494,1302,5.0
503,2762,5.0
514,1172,5.0
521,91529,5.0
534,5952,5.0
534,91529,5.0
549,1302,5.0
562,5952,5.0
565,953,5.0
565,3095,5.0
570,5952,5.0
571,2762,5.0
571,5952,5.0
572,1302,5.0
572,4995,5.0
577,2762,5.0
577,4995,5.0
577,5952,5.0
586,91529,5.0
587,899,5.0
